"","LICENSE NUMBER","PROVIDER NAME","PROVIDER SERVICE TYPE","STREET ADDRESS","CITY","STATE","ZIP","COUNTY","ECC","CCRR","SCHOOL DISTRICT OPERATED PROGRAM","SCHOOL DISTRICT","QUALITY RATING","QUALITY RATING EFFECTIVE DATE","QUALITY RATING EXPIRATION DATE","CCCAP FISCAL AGREEMENT STATUS","CCCAP AUTHORIZATION STATUS","TOTAL LICENSED CAPACITY","LICENSED HOME CAPACITY","LICENSED CENTER INFANT CAPACITY","LICENSED CENTER TODDLER CAPACITY","LICENSED CENTER PRESCHOOL CAPACITY","LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY","LICENSED SCHOOL AGE CAPACITY","LICENSED NYO CAPACITY","LICENSED RESIDENT CAMP CAPACITY","GOVERNING BODY"
"3411","1549762","DOUGLAS CTY SCHL MAMMOTH HEIGHTS","Preschool Program","9500 Stonegate PKWY","Parker","CO","80134","Douglas","Douglas County Early Childhood Council","Child Care Innovations",TRUE,"Douglas County School District",4,2026-01-09,2029-01-31,FALSE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"3412","80084","KIDS TECH CHILD CARE LAB CENTER","Child Care Center","500 Airport BLVD","Aurora","CO","80011","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",TRUE,"ADAMS-ARAPAHOE 28J",2,2025-02-26,2028-02-26,FALSE,FALSE,106,0,10,10,86,0,0,0,0,NA
"3413","1564569","EAST PRESCHOOL","Child Care Center","600 Texas AVE","Craig","CO","81625","Moffat","Connections 4 Kids","Summit Co CCR&R",FALSE,NA,2,2023-01-27,2027-09-30,TRUE,TRUE,180,NA,NA,NA,180,0,NA,NA,NA,NA
"3414","107264","The Village for Early Childhood Education","Child Care Center","711 E Euclid Ave","Centennial","CO","80122","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",TRUE,"Littleton School District 6",5,2025-04-30,2028-04-30,TRUE,TRUE,320,NA,NA,NA,320,0,NA,NA,NA,NA
"3415","42423","DIST 51 YOUNG PARENT CHILD CARE CENTER","Child Care Center","455 N 22nd ST B","Grand Junction","CO","81501","Mesa","Mesa County Partnership for Children & Families","Hilltop/Western Colorado",FALSE,NA,4,2024-04-26,2029-02-28,TRUE,TRUE,15,0,7,8,NA,NA,0,0,0,NA
"3416","104910","BRADFORD","Child Care Center","107 S LaCrosse","Pueblo","CO","81001","Pueblo","Pueblo Early Childhood Council","Childrens First",TRUE,"Pueblo School District 60",2,2024-05-09,2027-09-30,FALSE,FALSE,66,NA,NA,NA,66,0,NA,NA,NA,NA
"3417","1556825","HOLY NAME PRESCHOOL","Child Care Center","514 Oak ST","Steamboat Springs","CO","80477","Routt","First Impressions of Routt County","Summit Co CCR&R",FALSE,NA,4,2023-03-31,2027-09-30,TRUE,TRUE,40,NA,NA,NA,0,40,NA,NA,NA,NA
"3418","1609179","BVSD Aspen Creek PK-8 Preschool","Preschool Program","5500 Aspen Creek DR","Broomfield","CO","80020","Broomfield","Broomfield Early Childhood Council","Child Care Innovations",TRUE,"Boulder Valley School District",4,2023-01-23,2027-09-30,TRUE,FALSE,40,NA,NA,NA,40,0,NA,NA,NA,NA
"3419","1547460","EAGLE'S NEST PRESCHOOL (ACADEMY)","Child Care Center","1050 Yampa AVE","Craig","CO","81625","Moffat","Connections 4 Kids","Summit Co CCR&R",FALSE,NA,1,NA,NA,FALSE,FALSE,46,NA,NA,NA,0,46,NA,NA,NA,NA
"3420","1552965","EASTERN HILLS COMMUNITY CHURCH PRESCHOOL","Child Care Center","25511 E Smoky Hill RD","Aurora","CO","80016","Arapahoe","Arapahoe County Early Childhood Council","Child Care Innovations",FALSE,"Cherry Creek School District",1,NA,NA,FALSE,FALSE,195,0,0,24,171,0,0,0,0,NA
"3421","43210","Goodnight","Child Care Center","624 Windy Way","Pueblo","CO","81005","Pueblo","Pueblo Early Childhood Council","Childrens First",TRUE,"PUEBLO CITY 60",2,2024-05-09,2027-09-30,FALSE,FALSE,16,NA,NA,NA,16,0,NA,NA,NA,"Pueblo School District No 60"
"3422","43330","Haaff","Child Care Center","15 Chinook Lane","Pueblo","CO","81001","Pueblo","Pueblo Early Childhood Council","Childrens First",TRUE,"PUEBLO CITY 60",2,2024-03-18,2027-09-30,FALSE,FALSE,32,NA,NA,NA,0,32,NA,NA,NA,"Pueblo School District No 60"
